degree,k,method,ok_pct,f_mean,f_p90,f_p99,t_mean_ms,t_std_ms,t_p50_ms,t_p90_ms,t_p99_ms,source_log
20,30,ann,84.94,6.116e-12,1.902e-11,8.613e-11,9.608,4.151,8.34,16.164,21.255,eval_k_sweep_deg20.log
20,30,lstm,85.11,5.975e-12,1.915e-11,8.463e-11,10.3,4.52,8.943,17.212,22.75,eval_k_sweep_deg20.log
20,30,anchored_fb,85.12,6.682e-12,2.295e-11,8.605e-11,11.536,5.023,10.281,18.631,26.076,eval_k_sweep_deg20.log
25,5,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.039,0.355,2.125,2.402,3.219,eval_k_sweep_deg25.log
25,5,anchored,82.26,8.058e-12,3.138e-11,9.127e-11,2.877,1.461,2.382,4.609,6.143,eval_k_sweep_deg25.log
25,5,ann,82.18,6.198e-12,2.009e-11,8.883e-11,2.502,1.215,2.038,4.118,5.853,eval_k_sweep_deg25.log
25,5,lstm,83.08,5.662e-12,1.632e-11,8.748e-11,2.589,1.099,2.16,4.153,6.009,eval_k_sweep_deg25.log
25,5,anchored_fb,85.1,9.254e-12,3.934e-11,9.247e-11,2.941,1.563,2.382,4.793,6.904,eval_k_sweep_deg25.log
25,10,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.039,0.355,2.125,2.402,3.219,eval_k_sweep_deg25.log
25,10,anchored,84.91,7.188e-12,2.539e-11,8.894e-11,3.47,1.966,2.892,5.695,10.309,eval_k_sweep_deg25.log
25,10,ann,84.98,6.126e-12,1.992e-11,8.688e-11,3.202,1.725,2.53,5.436,10.291,eval_k_sweep_deg25.log
25,10,lstm,85.07,5.835e-12,1.682e-11,8.748e-11,3.334,1.734,2.608,5.429,10.542,eval_k_sweep_deg25.log
25,10,anchored_fb,85.14,7.293e-12,2.6e-11,8.9e-11,3.475,1.974,2.892,5.709,10.309,eval_k_sweep_deg25.log
25,15,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.039,0.355,2.125,2.402,3.219,eval_k_sweep_deg25.log
25,15,anchored,85.01,6.807e-12,2.44e-11,8.562e-11,5.028,2.28,4.255,8.444,13.173,eval_k_sweep_deg25.log
25,15,ann,84.99,6.262e-12,2.068e-11,8.664e-11,4.671,2.398,3.53,8.387,12.798,eval_k_sweep_deg25.log
25,15,lstm,85.11,5.886e-12,1.761e-11,8.665e-11,4.885,2.417,3.639,8.419,13.36,eval_k_sweep_deg25.log
25,15,anchored_fb,85.15,6.867e-12,2.487e-11,8.602e-11,5.031,2.286,4.255,8.451,13.176,eval_k_sweep_deg25.log
25,20,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.039,0.355,2.125,2.402,3.219,eval_k_sweep_deg25.log
25,20,anchored,85.03,6.566e-12,2.317e-11,8.561e-11,5.315,2.756,4.382,10.295,13.174,eval_k_sweep_deg25.log
25,20,ann,84.99,6.185e-12,2.026e-11,8.68e-11,5.085,2.815,3.796,10.155,13.226,eval_k_sweep_deg25.log
25,20,lstm,85.11,5.838e-12,1.748e-11,8.642e-11,5.298,2.759,3.778,10.061,13.86,eval_k_sweep_deg25.log
25,20,anchored_fb,85.15,6.619e-12,2.351e-11,8.562e-11,5.317,2.761,4.382,10.326,13.232,eval_k_sweep_deg25.log
25,25,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.039,0.355,2.125,2.402,3.219,eval_k_sweep_deg25.log
25,25,anchored,85.08,6.06e-12,2.041e-11,8.452e-11,6.323,3.406,4.911,12.726,15.306,eval_k_sweep_deg25.log
25,25,ann,85.0,6.194e-12,2.04e-11,8.618e-11,6.113,3.408,4.32,12.739,15.292,eval_k_sweep_deg25.log
25,25,lstm,85.13,5.826e-12,1.794e-11,8.642e-11,6.471,3.44,4.564,12.688,15.873,eval_k_sweep_deg25.log
25,25,anchored_fb,85.15,6.091e-12,2.062e-11,8.452e-11,6.324,3.41,4.911,12.735,15.327,eval_k_sweep_deg25.log
25,30,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.039,0.355,2.125,2.402,3.219,eval_k_sweep_deg25.log
25,30,anchored,84.96,6.106e-12,2.057e-11,8.453e-11,7.535,3.508,6.038,14.074,16.574,eval_k_sweep_deg25.log
25,30,ann,84.79,6.398e-12,2.1e-11,8.687e-11,7.306,3.435,5.645,14.489,16.568,eval_k_sweep_deg25.log
